iter	Logloss
0	0.680692933
1	0.6733690467
2	0.654204075
3	0.636166386
4	0.6308426424
5	0.6167675486
6	0.6108317136
7	0.6008191089
8	0.5888271974
9	0.576445502
10	0.5656184319
11	0.5546321739
12	0.5437362522
13	0.5340094694
14	0.5192427049
15	0.5101548241
16	0.5071633782
17	0.4991350224
18	0.4862401914
19	0.4814379089
20	0.4756710784
21	0.4616818986
22	0.4545292825
23	0.4485682291
24	0.4382094901
25	0.4320047252
26	0.4269283557
27	0.4196721505
28	0.4140801751
29	0.4083014711
30	0.4056772075
31	0.4021763133
32	0.3966502988
33	0.3895767216
34	0.3885039062
35	0.3835857984
36	0.3777474143
37	0.3731697927
38	0.3682925051
39	0.36615043
40	0.357239945
41	0.3509081297
42	0.3453277603
43	0.3407989705
44	0.3366143529
45	0.3337527937
46	0.330368012
47	0.3266129462
48	0.3232239844
49	0.3196743205
50	0.3159023983
51	0.3112589145
52	0.3084565087
53	0.3056874338
54	0.3006862422
55	0.2972808168
56	0.2909998305
57	0.2875832675
58	0.2843082201
59	0.2785094262
60	0.2729242444
61	0.2708269677
62	0.2679786983
63	0.2651805516
64	0.2631929013
65	0.2614171661
66	0.2587312667
67	0.2568012282
68	0.2548970893
69	0.2530383683
70	0.2504941565
71	0.2486695716
72	0.2468877384
73	0.2451177264
74	0.2433604551
75	0.2416444817
76	0.2399503208
77	0.2382663779
78	0.2359650375
79	0.2343295526
80	0.2320923475
81	0.2305034756
82	0.2283280185
83	0.2261877323
84	0.2246681915
85	0.223167341
86	0.2211086392
87	0.2190826054
88	0.2176460288
89	0.2156740312
90	0.2142766585
91	0.2128959702
92	0.2109970063
93	0.2091273519
94	0.2072863929
95	0.2059831243
96	0.2046971338
97	0.2029226045
98	0.2011748203
99	0.1999385923
