iter	Passed	Remaining
0	7	774
1	9	469
2	9	316
3	9	238
4	10	201
5	13	207
6	15	206
7	15	181
8	15	161
9	16	149
10	17	144
11	18	136
12	19	133
13	21	131
14	22	125
15	22	119
16	25	125
17	26	120
18	26	113
19	27	109
20	28	107
21	28	102
22	32	110
23	33	105
24	33	101
25	34	97
26	34	93
27	34	89
28	35	85
29	45	106
30	46	103
31	46	99
32	51	104
33	51	100
34	51	96
35	52	92
36	52	89
37	52	86
38	60	94
39	63	94
40	64	92
41	64	89
42	64	86
43	65	83
44	65	80
45	66	77
46	66	74
47	83	90
48	86	89
49	86	86
50	87	83
51	87	80
52	87	77
53	88	75
54	88	72
55	88	69
56	88	67
57	99	72
58	101	70
59	104	69
60	106	68
61	108	66
62	114	67
63	115	64
64	115	62
65	115	59
66	116	57
67	116	54
68	116	52
69	118	50
70	118	48
71	121	47
72	122	45
73	123	43
74	123	41
75	127	40
76	127	38
77	130	36
78	131	34
79	133	33
80	134	31
81	135	29
82	137	28
83	137	26
84	139	24
85	143	23
86	143	21
87	145	19
88	145	18
89	146	16
90	146	14
91	146	12
92	152	11
93	153	9
94	154	8
95	156	6
96	156	4
97	157	3
98	163	1
99	164	0
